# 요괴 데이터 파일
# 형식: 이름,타입,공격력,방어력,체력,스피드,도감설명,기술1;기술2;기술3;기술4;기술5;기술6;...

# 일반 요괴
거루,MONSTER,135,110,130,100,사납게 포효하며 온몸에 독을 퍼뜨린다,몸통박치기;꼬리치기;물기;사슬채찍;짖기;연속박치기;꼬리후려치기;이단도약
거잠,MONSTER,130,105,135,110,잿더미 속에서 솟아오른 불타는 골상이다,몸통박치기;불꽃치기;불씨던지기;돌던지기;돌가루;불길장벽;연속박치기;용암분출
고수여칠,EVIL_SPIRIT,140,130,120,110,일곱 개의 손톱으로 찢고 훑어내는 귀신,소리지르기;독꽃던지기;돌가루;속임수;헛소리;쇠방울던지기;망각의노래;환영;영혼흡수
구렁이 아우,ANIMAL,135,115,140,100,주먹밥을 먹고 자란 후 폭군을 죽인 뱀이다,몸통박치기;꼬리치기;독침;물기;사슬채찍;연속박치기;꼬리후려치기;숨은송곳니;강철꼬리치기
그슨대,EVIL_SPIRIT,140,100,135,115,어둠 속에서 사람들은 유혹해 완전히 삼켜 버린다,안개;새벽의속삭임;속임수;헛소리;검은연기;검은연못;망각의노래;영혼흡수
금혈어,MONSTER,140,130,135,95,핏빛 비늘로 적을 관통하는 독어이다,몸통박치기;꼬리치기;독침;물기;가시돌진;연속박치기;물어뜯기;이단도약
노옹화구,MONSTER,140,120,135,115,노인의 혼으로 탄생한 불타는 머리뼈,몸통박치기;불꽃치기;불씨던지기;괴성;망령의눈빛;불길장벽;연속박치기;용암분출
녹정,MONSTER,135,115,140,105,풀과 이끼로 뒤덮인 친환경 괴수,몸통박치기;돌던지기;소리지르기;진흙던지기;연속박치기;어퍼컷;후려치기;분노의주먹
단피몽두,MONSTER,140,90,110,130,꿈속 살점만 골라 먹는 흉포한 괴물,몸통박치기;돌던지기;소리지르기;새벽의속삭임;물기;연속박치기;혼령의숨;이단도약
달걀귀신,EVIL_SPIRIT,130,90,140,100,깨진 달걀 껍질에서 태어난 요괴 망가진 형태 주시하며 배회한다,호미찌르기;돌가루;새벽의속삭임;속임수;헛소리;어퍼컷;속임수베기;피눈물베기;영혼흡수
닷발괴물,MONSTER,140,95,90,130,꼬리깃과 부리가 각각 닷 발(약 750cm)에 이르는 거대한 괴물,몸통박치기;꼬리치기;날개베기;물기;할퀴기;사념의박치기;폭풍의깃;무쇠발톱;천지개벽
대영차,MONSTER,135,125,140,100,거대한 몸으로 대지를 갈라내는 힘을 지닌 물고기이다다,몸통박치기;꼬리치기;독침;물기;가시돌진;연속박치기;꼬리후려치기;태산벽력
도깨비,MONSTER,160,120,140,120,밤에 나타나 사람들을 놀라게 하지만 가끔씩 도움을 주기도 한다,불씨던지기;돌던지기;진흙던지기;호미찌르기;연속박치기;쇠방울던지기;예측공격;도깨비방망이
독각귀,MONSTER,120,110,130,100,몸에서 독이 흘러내리는 괴수로 날카로운 뿔로 찌르면 깊이 중독된다,몸통박치기;꼬리치기;독침;꼬리후려치기;맹독침;사념의박치기
불개,MONSTER,135,120,130,105,불꽃 같은 털로 적진을 휩쓴다,불꽃치기;불씨던지기;물기;짖기;맹화
불여우,MONSTER,135,120,140,110,구미호처럼 사람 모습으로 남자를 홀리는 붉은 여우,부채베기;진흙던지기;호미찌르기;유혹하기;할퀴기;어퍼컷;마구할퀴기;분노의주먹
불화살귀,GHOST,140,100,110,120,전장에서 죽은 혼령들이 모여 만들어진 불꽃 요괴로 불타는 화살처럼 빠르게 적을 꿰뚫는다,괴성;망령의눈빛;안개;속임수;검은연못;망자의손;혼령의숨;혼령메아리
산치성,MONSTER,140,130,105,115,깊은 산속에서 태어난 땅의 괴수로 돌과 나무를 휘두르며 산을 지키는 수호자,몸통박치기;돌던지기;소리지르기;진흙던지기;번개;얼음창;어퍼컷;흙폭탄;천지개벽
살쾡이 요괴,ANIMAL,130,115,135,125,도플갱어처럼 모습을 바꿔 접근한다,돌던지기;진흙던지기;꼬리치기;물기;유혹하기;예측공격;마구할퀴기;물어뜯기;분노의주먹
삼두일족응,MONSTER,140,90,120,100,머리 셋 다리 하나의 매로 삼재를 물리친다는 의미의 상징적 존재,가시털;몸통박치기;날개베기;바람발;할퀴기;연속박치기;폭풍의깃;꼬리후려치기;깨물어부수기
삼족구,ANIMAL,140,110,120,100,발이 세 개인 개로 몸집이 작지만 악귀를 물리친다,몸통박치기;꼬리치기;물기;짖기;꼬리후려치기;물어뜯기;숨은송곳니;깨물어부수기
삼족섬,EVIL_SPIRIT,135,125,140,95,세 개의 섬을 떠돌며 저주를 퍼뜨린다,그림자발바닥;독꽃던지기;새벽의속삭임;속임수;헛소리;염력;망각의노래;환영분열;지옥기운
상사석탕,MONSTER,130,120,125,100,사랑의 집착으로 변한 거대한 뱀,몸통박치기;꼬리치기;독침;물기;사슬채찍;연속박치기;꼬리후려치기;맹독침;사념의박치기
새타니,GHOST,135,120,140,125,어릴 때 죽은 아이의 혼으로 무당에게 영험을 내리는 귀신,괴성;그림자발바닥;망령의눈빛;안개;음파;검은연못;망자의손;염력;어둠손길
소인,MONSTER,140,130,145,95,검을 사랑해 무한 전투를 벌이는 작은 전사,몸통박치기;불씨던지기;돌던지기;소리지르기;쇠방울던지기;예측공격;철화살;이단도약
손돌,MONSTER,140,135,150,95,매끄러운 돌로 이루어진 거대한 구체가 땅을 진동시킨다,몸통박치기;불꽃치기;돌던지기;진흙던지기;가시돌진;연속박치기;천지개벽
